============================================================================================
    Date     Time  Temp SpCond  Cond    pH      pH Turbid+   Chl   Chl ODOsat    ODO Battery
   m/d/y hh:mm:ss     C  uS/cm mS/cm            mV     NTU  ug/L   RFU      %   mg/L   volts
--------------------------------------------------------------------------------------------
09/02/12 00:31:12 17.88    252 0.218  8.22  -117.4     3.5   6.6   2.0  101.0   9.58    10.9
09/02/12 01:01:12 16.94    252 0.213  8.18  -114.4    12.6  44.6  13.1   98.7   9.55    10.9
09/02/12 01:31:14 14.39    251 0.200  8.11  -109.5    10.1 406.6 119.4   98.4  10.04    10.9
09/02/12 02:01:10 13.65    250 0.196  8.10  -108.8    21.0  91.8  27.0   99.1  10.28    10.9
09/02/12 02:31:12 13.43    250 0.195  8.09  -108.5    30.3  95.4  28.0   99.1  10.34    10.9
09/02/12 03:01:12 13.31    250 0.194  8.10  -108.8    17.4  30.6   9.0   99.6  10.42    10.9
09/02/12 03:31:13 13.23    250 0.194  8.09  -108.2    32.8  72.5  21.3   99.2  10.39    10.9
09/02/12 04:01:13 14.09    251 0.198  8.12  -110.2    12.7  16.0   4.7   99.6  10.24    10.9
09/02/12 04:31:05 14.19    251 0.199  8.10  -108.9    10.1  49.5  14.5   98.6  10.11    10.9
09/02/12 05:01:07 14.31    251 0.199  8.15  -112.2     8.0  50.4  14.8  101.1  10.35    10.9
09/02/12 05:31:13 14.63    251 0.201  8.17  -113.5     7.0  15.5   4.6  101.7  10.33    10.9
09/02/12 06:01:14 14.61    251 0.201  8.17  -113.2     7.1  71.3  21.0  101.3  10.30    10.9
09/02/12 06:31:15 14.70    251 0.201  8.15  -112.3    13.4  28.8   8.5  100.6  10.21    10.9
09/02/12 07:01:14 15.04    251 0.203  8.15  -112.1    13.4  26.9   7.9   99.9  10.06    10.9
09/02/12 07:31:12 15.42    251 0.205  8.15  -112.1     6.9   7.8   2.3   99.8   9.96    10.9
09/02/12 08:01:12 15.64    251 0.206  8.14  -112.1     8.5  19.4   5.7   99.5   9.89    10.8
09/02/12 08:31:11 15.87    251 0.207  8.16  -113.2    11.1  11.0   3.3  100.3   9.92    10.9
09/02/12 09:01:11 15.99    251 0.208  8.16  -113.1     9.8   9.7   2.8  100.0   9.87    10.9
09/02/12 09:31:13 16.04    251 0.208  8.13  -111.2    27.5  13.3   3.9   97.9   9.65    10.9
09/02/12 10:01:13 16.21    252 0.209  8.13  -111.4    22.7  10.8   3.2   97.7   9.59    10.9
09/02/12 10:31:12 16.35    252 0.210  8.14  -111.8    23.2  19.6   5.8   97.9   9.59    10.9
09/02/12 11:01:12 16.17    251 0.209  8.15  -112.3    41.9 107.6  31.6   98.9   9.72    10.9
09/02/12 11:31:12 16.17    251 0.209  8.15  -112.5    17.5   8.1   2.4   98.9   9.72    10.9
09/02/12 12:01:14 16.14    251 0.209  8.16  -112.9    18.9   4.8   1.4   99.2   9.76    10.9
09/02/12 12:31:13 16.08    251 0.208  8.15  -112.6    22.4  22.9   6.7   99.3   9.78    10.9
09/02/12 13:01:13 16.03    251 0.208  8.19  -114.7     7.5   3.4   1.0  101.7  10.03    10.9
09/02/12 13:31:13 16.09    251 0.208  8.20  -115.2     4.8   4.1   1.2  102.3  10.07    10.9
09/02/12 14:01:12 16.09    251 0.208  8.21  -116.0     5.4   2.5   0.8  102.8  10.12    10.9
09/02/12 14:31:14 15.97    251 0.208  8.21  -116.3     5.4   2.1   0.6  103.3  10.19    10.9
09/02/12 15:01:13 15.92    251 0.207  8.21  -116.2    12.6   6.0   1.8  103.2  10.20    10.9
09/02/12 15:31:13 14.72    251 0.202  8.03  -105.2    54.5  22.3   6.6   93.1   9.44    11.0
09/02/12 16:01:14 13.84    251 0.198  7.97  -101.4    34.7  18.7   5.5   91.0   9.40    10.9
09/02/12 16:31:13 13.76    251 0.197  8.00  -103.2    30.1  22.1   6.5   92.5   9.58    10.9
09/02/12 17:01:07 13.46    251 0.196  8.00  -103.1    29.2  53.0  15.6   93.6   9.76    10.9
09/02/12 17:31:12 15.26    251 0.204  8.15  -112.4     4.7  24.3   7.2   99.4   9.96    10.9
09/02/12 18:01:11 15.54    251 0.206  8.12  -110.5     7.8   4.1   1.2   97.3   9.69    10.9
09/02/12 18:31:12 16.08    251 0.209  8.17  -114.0     2.5   5.4   1.6  100.6   9.91    10.9
09/02/12 19:01:13 16.11    251 0.209  8.17  -114.0     1.7   1.8   0.5  100.7   9.91    10.9
09/02/12 19:31:13 16.10    251 0.209  8.14  -112.2     3.5  19.8   5.8   99.1   9.76    10.9
09/02/12 20:01:12 16.37    251 0.210  8.17  -113.6     2.0   3.0   0.9  100.0   9.79    10.9
09/02/12 20:31:13 16.86    252 0.212  8.19  -114.8   220.3   4.0   1.2  100.5   9.73    10.9
09/02/12 21:01:13 17.00    252 0.213  8.19  -115.1     4.7   4.0   1.2  100.6   9.72    10.9
09/02/12 21:31:13 17.02    252 0.213  8.17  -114.2     2.3   2.4   0.7   99.6   9.61    10.9
09/02/12 22:01:13 17.48    253 0.217  8.18  -114.9     2.0   2.3   0.7   99.7   9.53    10.9
09/02/12 22:31:13 17.89    252 0.218  8.19  -115.5     2.6   1.0   0.3   99.9   9.47    10.9
09/02/12 23:01:13 17.87    252 0.218  8.18  -114.9     2.3   1.4   0.4   99.4   9.43    10.9
09/02/12 23:31:12 18.04    252 0.219  8.18  -115.1     2.4   3.4   1.0   99.6   9.41    10.9
09/03/12 00:01:12 18.01    253 0.219  8.17  -114.2    97.1   2.5   0.7   98.5   9.31    10.9
09/03/12 00:31:12 18.26    253 0.220  8.19  -115.5     2.5   1.9   0.6   99.7   9.39    10.9
09/03/12 01:01:11 18.22    253 0.220  8.18  -114.7     2.5   4.4   1.3   98.9   9.31    10.9
09/03/12 01:31:12 18.33    253 0.220  8.19  -115.2     6.1  16.6   4.9   99.1   9.31    10.9
09/03/12 02:01:12 18.37    253 0.221  8.18  -115.1    94.5   1.7   0.5   98.8   9.28    10.9
09/03/12 02:31:13 18.42    253 0.221  8.17  -114.3     2.5   2.2   0.7   98.0   9.19    10.9
09/03/12 03:01:13 18.48    253 0.221  8.16  -113.6     6.8   1.4   0.4   97.2   9.11    10.9
09/03/12 03:31:12 18.92    253 0.224  8.18  -115.0  1744.0   3.1   0.9   98.4   9.13    10.9
09/03/12 04:01:12 18.71    253 0.223  8.17  -114.4     2.0   2.3   0.7   97.1   9.05    10.9
09/03/12 04:31:12 17.07    253 0.215  8.08  -108.8     3.9   7.6   2.3   93.9   9.06    10.9
09/03/12 05:01:13 14.68    252 0.202  8.00  -103.6     3.2   5.2   1.5   93.4   9.47    10.9
09/03/12 05:31:13 14.14    252 0.199  8.00  -103.5     3.5   5.7   1.7   94.1   9.66    10.9
09/03/12 06:01:13 13.49    251 0.196  7.97  -101.1     3.4   9.3   2.8   93.1   9.70    10.9
09/03/12 06:31:13 13.40    251 0.196  7.98  -102.2     2.9   3.0   0.9   93.7   9.78    10.9
09/03/12 07:01:13 13.70    251 0.197  8.06  -106.7     2.6   9.2   2.7   96.9  10.04    10.9
09/03/12 07:31:13 14.48    251 0.201  8.08  -108.1     2.8   5.4   1.6   97.3   9.91    10.9
09/03/12 08:01:16 14.92    251 0.203  8.10  -109.1     4.2   2.0   0.6   97.7   9.86    10.9
09/03/12 08:31:16 15.05    251 0.203  8.08  -108.2     3.9  17.1   5.0   97.0   9.77    10.9
09/03/12 09:01:14 15.72    252 0.208  8.09  -109.1     4.8   8.9   2.6   96.3   9.55    10.9
09/03/12 09:31:08 16.12    252 0.209  8.10  -109.8     3.9 311.3  91.4   96.7   9.51    10.9
09/03/12 10:01:09 16.68    252 0.212  8.13  -111.5     8.4   1.9   0.6   97.5   9.48    10.9
09/03/12 10:31:12 16.18    252 0.209  8.12  -110.5     4.8   2.0   0.6   97.5   9.58    10.9
09/03/12 11:01:13 16.17    252 0.209  8.14  -112.0     3.8   0.0   0.0   99.3   9.76    10.9
09/03/12 11:31:12 16.12    252 0.209  8.15  -112.3     4.7   1.4   0.4   99.6   9.80    10.9
09/03/12 12:01:12 17.17    252 0.214  8.21  -116.1     5.3   3.3   1.0  101.8   9.80    10.9
09/03/12 12:31:12 17.55    252 0.216  8.21  -116.6     2.8   2.8   0.8  101.8   9.72    10.9
09/03/12 13:01:12 17.93    252 0.218  8.23  -117.9     2.2   1.3   0.4  102.7   9.73    10.9
09/03/12 13:31:12 18.17    252 0.219  8.24  -118.5     2.2   1.5   0.4  103.3   9.74    10.9
09/03/12 14:01:12 18.33    252 0.220  8.26  -119.4     2.4   3.2   0.9  104.3   9.80    10.9
09/03/12 14:31:12 16.84    252 0.213  8.21  -116.5     2.9   0.8   0.2  102.8   9.96    10.9
09/03/12 15:01:13 16.97    252 0.213  8.23  -117.8     3.6   1.1   0.3  104.0  10.05    10.9
09/03/12 15:31:12 17.59    251 0.215  8.26  -119.3     3.6   1.8   0.5  105.6  10.07    10.9
09/03/12 16:01:12 17.14    252 0.214  8.23  -117.8     8.7   2.0   0.6  104.0  10.02    10.9
09/03/12 16:31:13 17.12    251 0.214  8.25  -118.9    12.7   2.1   0.6  105.1  10.13    10.9
09/03/12 17:01:13 16.97    252 0.213  8.25  -118.8     5.2   2.5   0.7  105.6  10.20    10.9
09/03/12 17:31:12 17.18    251 0.214  8.25  -118.5     4.0   2.9   0.9  104.8  10.08    10.9
09/03/12 18:01:13 17.61    252 0.216  8.28  -120.4    10.0   2.1   0.6  105.7  10.08    10.9
09/03/12 18:31:13 17.99    252 0.218  8.28  -120.9     7.0   2.4   0.7  106.5  10.08    10.9
09/03/12 19:01:12 18.03    252 0.218  8.30  -121.7     6.0   3.4   1.0  107.4  10.15    10.9
09/03/12 19:31:13 18.09    251 0.218  8.31  -122.5     5.2   4.3   1.3  108.6  10.26    10.9
09/03/12 20:01:13 18.04    252 0.218  8.30  -121.9     7.8   6.9   2.0  107.4  10.16    10.9
09/03/12 20:31:12 17.90    252 0.218  8.30  -121.8     9.2   5.0   1.5  107.1  10.16    10.9
09/03/12 21:01:12 17.82    252 0.217  8.30  -121.9     8.3   6.9   2.0  107.5  10.21    10.9
09/03/12 21:31:13 16.05    252 0.209  8.22  -116.6     5.7   2.3   0.7  102.4  10.09    10.9
09/03/12 22:01:13 16.15    251 0.209  8.22  -116.6     5.6   7.0   2.1  102.7  10.10    10.9
09/03/12 22:31:13 15.89    251 0.207  8.25  -118.2     5.9   6.0   1.8  106.0  10.48    10.9
09/03/12 23:01:13 16.04    251 0.208  8.26  -119.3     5.6   3.9   1.2  106.8  10.52    10.9
09/03/12 23:31:13 16.21    251 0.209  8.28  -120.2     7.7   7.8   2.3  107.3  10.54    10.9
09/04/12 00:01:13 16.13    251 0.208  8.24  -118.2     9.1   7.5   2.2  105.1  10.34    10.9
09/04/12 00:31:13 16.01    251 0.208  8.24  -118.0    11.4   6.8   2.0  105.3  10.39    10.9
09/04/12 01:01:13 16.13    251 0.208  8.24  -117.8     7.6   7.0   2.1  104.8  10.31    10.9
09/04/12 01:31:13 17.56    252 0.216  8.24  -118.2    11.1   3.4   1.0  103.6   9.89    10.8
09/04/12 02:01:13 17.91    252 0.218  8.25  -118.9    49.8   5.1   1.5  103.9   9.84    10.9
09/04/12 02:31:12 17.96    252 0.218  8.24  -118.1    58.4   3.8   1.1  103.3   9.78    10.9
09/04/12 03:01:12 17.97    252 0.218  8.22  -117.1    22.0   4.6   1.4  101.9   9.65    10.9
09/04/12 03:31:12 18.22    252 0.219  8.23  -117.8    21.5   3.8   1.1  102.8   9.68    10.9
09/04/12 04:01:13 18.55    252 0.221  8.25  -119.1    38.0   2.0   0.6  103.8   9.71    10.9
09/04/12 04:31:13 18.00    253 0.219  8.23  -117.5    12.0   4.6   1.4  102.2   9.67    10.9
09/04/12 05:01:13 17.35    252 0.215  8.21  -116.4    18.7   6.2   1.8  101.6   9.75    10.9
09/04/12 05:31:13 16.85    251 0.212  8.21  -116.5    14.2   6.9   2.0  102.4   9.92    10.9
09/04/12 06:01:13 16.89    251 0.213  8.20  -116.0    18.9   6.2   1.8  102.1   9.88    10.9
09/04/12 06:31:13 17.11    252 0.214  8.20  -115.6    23.3  10.4   3.1  101.8   9.81    10.9
09/04/12 07:01:13 16.83    251 0.212  8.23  -117.2    27.3   2.3   0.7  103.2  10.00    10.9
09/04/12 07:31:14 16.67    251 0.211  8.23  -117.2    34.1   5.2   1.6  103.0  10.01    10.9
09/04/12 08:01:13 16.65    251 0.211  8.22  -116.6    34.1   3.5   1.0  103.7  10.09    10.9
09/04/12 08:31:13 16.56    251 0.211  8.23  -117.5    20.7   3.5   1.0  103.9  10.13    10.9
09/04/12 09:01:13 16.52    251 0.210  8.23  -117.3    21.1   3.4   1.0  104.0  10.15    10.9
09/04/12 09:31:13 16.64    251 0.211  8.26  -119.2    14.5   7.1   2.1  105.2  10.24    10.9
09/04/12 10:01:12 16.69    250 0.211  8.26  -119.1    12.2   4.5   1.3  106.0  10.30    10.9
09/04/12 10:31:13 16.75    250 0.211  8.28  -120.4    96.8   5.5   1.6  107.2  10.40    10.9
09/04/12 11:01:13 16.82    251 0.211  8.28  -120.4    16.4   2.6   0.8  106.7  10.35    10.9
09/04/12 11:31:13 16.89    250 0.211  8.31  -122.1    79.0   0.8   0.2  109.9  10.64    10.9
09/04/12 12:01:12 16.99    250 0.212  8.34  -124.1    21.1   3.2   1.0  111.8  10.80    10.9
09/04/12 12:31:13 16.99    249 0.211  8.40  -127.5     7.7   2.6   0.8  116.2  11.22    10.9
09/04/12 13:01:13 17.04    249 0.211  8.41  -128.2     7.5   2.6   0.8  117.4  11.33    10.9
09/04/12 13:31:13 17.03    249 0.212  8.39  -127.0    10.1   4.0   1.2  115.4  11.14    10.9
09/04/12 14:01:13 16.99    250 0.211  8.37  -125.9    17.4   1.6   0.5  113.8  10.99    10.9
09/04/12 14:31:12 17.09    250 0.212  8.37  -126.0     7.9   3.1   0.9  113.9  10.98    10.9
09/04/12 15:01:12 17.17    249 0.212  8.40  -127.6     3.6   3.5   1.1  116.1  11.17    10.9
09/04/12 15:31:12 17.26    249 0.213  8.39  -127.4     2.1   4.7   1.4  115.9  11.13    10.9
09/04/12 16:01:12 17.39    250 0.214  8.34  -124.1     2.2   2.3   0.7  111.8  10.71    10.9
09/04/12 16:31:13 17.09    249 0.211  8.42  -128.8     1.7   1.3   0.4  117.7  11.35    10.9
09/04/12 17:01:13 17.02    249 0.211  8.44  -130.2     2.5   0.7   0.2  120.4  11.62    10.9
09/04/12 17:31:14 16.60    248 0.208  8.53  -134.9     2.8   0.8   0.3  126.9  12.36    10.9
09/04/12 18:01:13 15.02    248 0.201  8.39  -126.7     2.9   0.7   0.2  116.7  11.75    10.9
09/04/12 18:31:13 14.86    249 0.201  8.33  -122.6     3.3   1.1   0.4  111.8  11.30    10.9
09/04/12 19:01:13 14.74    249 0.201  8.31  -121.5     3.6   7.5   2.2  110.8  11.23    10.9
09/04/12 19:31:13 14.47    249 0.199  8.29  -120.4     4.2   8.6   2.5  109.7  11.18    10.9
09/04/12 20:01:13 14.15    249 0.197  8.27  -119.3     4.0  10.7   3.2  109.0  11.19    10.9
09/04/12 20:31:13 14.01    249 0.197  8.26  -118.4     5.0   9.9   2.9  108.2  11.14    10.9
09/04/12 21:01:13 15.59    249 0.204  8.41  -127.5     5.1  11.0   3.3  115.7  11.51    10.9
09/04/12 21:31:13 16.34    249 0.208  8.44  -130.1     5.4   2.7   0.8  119.4  11.70    10.8
09/04/12 22:01:13 15.31    248 0.202  8.27  -119.4     4.8   6.9   2.0  108.5  10.86    10.9
09/04/12 22:31:13 16.72    249 0.209  8.42  -128.5     4.2   9.2   2.7  117.5  11.42    10.9
09/04/12 23:01:13 16.77    249 0.210  8.37  -126.0     5.9   1.9   0.6  114.4  11.10    10.9
09/04/12 23:31:13 16.30    249 0.208  8.35  -124.6     7.5   4.0   1.2  113.3  11.11    10.9
09/05/12 00:01:13 15.58    249 0.205  8.31  -122.2     5.9   4.5   1.3  111.2  11.07    10.9
09/05/12 00:31:13 14.68    250 0.201  8.26  -118.4     6.6   3.7   1.1  108.1  10.97    10.9
09/05/12 01:01:13 14.39    251 0.200  8.21  -115.7    11.9   4.2   1.3  105.3  10.75    10.9
09/05/12 01:31:13 15.41    250 0.204  8.28  -119.8    12.4   7.6   2.2  107.9  10.78    10.9
09/05/12 02:01:14 16.79    250 0.211  8.33  -123.2     6.7   7.3   2.1  110.4  10.72    10.9
09/05/12 02:31:13 17.07    250 0.212  8.31  -122.1     7.3  22.5   6.6  109.5  10.56    10.8
09/05/12 03:01:13 17.13    250 0.213  8.28  -120.4     7.9   4.3   1.3  107.3  10.33    10.9
09/05/12 03:31:13 17.20    251 0.213  8.27  -119.8     4.4   4.4   1.3  106.3  10.23    10.9
09/05/12 04:01:13 17.44    250 0.214  8.27  -120.1     4.7   4.5   1.3  106.2  10.17    10.9
09/05/12 04:31:13 17.59    250 0.215  8.28  -120.5     5.3   6.2   1.8  106.4  10.15    10.9
09/05/12 05:01:13 17.74    250 0.216  8.28  -120.5     5.4   3.3   1.0  106.2  10.10    10.9
09/05/12 05:31:13 17.56    250 0.215  8.28  -120.5     5.4   5.7   1.7  106.6  10.18    10.9
09/05/12 06:01:13 17.64    251 0.215  8.28  -120.5     6.1   3.9   1.2  106.2  10.12    10.9
09/05/12 06:31:12 17.84    250 0.216  8.29  -121.1     6.6   4.9   1.4  106.5  10.11    10.9
09/05/12 07:01:13 16.24    253 0.210  8.19  -114.9     7.9   2.4   0.7  102.4  10.05    10.9
09/05/12 07:31:13 13.73    250 0.196  8.11  -109.4     2.9   7.0   2.1  101.7  10.54    10.9
09/05/12 08:01:13 13.64    249 0.195  8.13  -110.8     3.2  27.1   8.0  102.9  10.68    10.9
09/05/12 08:31:13 13.64    249 0.195  8.16  -112.4    29.0  24.3   7.1  103.6  10.76    10.9
09/05/12 09:01:13 13.23    249 0.193  8.13  -111.0     2.9  14.1   4.2  103.1  10.80    10.9
09/05/12 09:31:13 12.45    248 0.188  8.08  -107.6     6.2   3.0   0.9  101.6  10.83    10.9
09/05/12 10:01:13 12.90    247 0.190  8.11  -109.1     3.9  10.3   3.0  102.7  10.84    10.9
09/05/12 10:31:13 13.38    249 0.194  8.16  -112.5     6.5   4.4   1.3  103.5  10.81    10.9
09/05/12 11:01:15 14.03    249 0.197  8.22  -116.1     3.5   1.6   0.5  106.4  10.95    10.9
09/05/12 11:31:12 13.49    249 0.194  8.20  -114.8     3.2   4.3   1.3  106.4  11.08    10.9
09/05/12 12:01:13 14.04    249 0.197  8.24  -117.2    13.9   2.4   0.7  108.4  11.16    10.9
09/05/12 12:31:14 14.45    249 0.199  8.28  -119.6    19.7   2.9   0.9  109.5  11.16    10.9
09/05/12 13:01:12 15.64    250 0.205  8.25  -118.6     5.7   1.5   0.4  106.1  10.55    10.8
09/05/12 13:31:13 15.67    250 0.205  8.25  -118.2     3.8   1.3   0.4  106.0  10.53    10.9
09/05/12 14:01:13 15.47    249 0.204  8.26  -118.8     3.3   1.8   0.5  107.3  10.71    10.9
09/05/12 14:31:14 14.88    249 0.201  8.28  -119.7     5.7   1.3   0.4  109.6  11.08    10.9
09/05/12 15:01:13 14.56    248 0.199  8.26  -118.8     7.2   4.5   1.3  109.2  11.11    10.9
09/05/12 15:31:13 14.19    248 0.197  8.26  -118.7     4.8   1.6   0.5  109.6  11.24    10.9
09/05/12 16:01:13 13.53    248 0.193  8.33  -122.4     7.8   1.9   0.6  114.4  11.91    10.9
09/05/12 16:31:13 13.09    248 0.191  8.28  -119.7     7.9   1.2   0.4  112.1  11.78    10.9
09/05/12 17:01:12 13.11    247 0.191  8.28  -119.6     5.1   1.2   0.4  111.8  11.74    10.8
09/05/12 17:31:13 12.56    248 0.189  8.28  -119.4     9.7   5.6   1.7  112.0  11.91    10.9
09/05/12 18:01:13 12.00    248 0.187  8.29  -119.6     7.6   2.2   0.7  113.2  12.19    10.9
09/05/12 18:31:13 11.64    248 0.184  8.27  -118.7    10.0   4.0   1.2  112.4  12.21    10.9
09/05/12 19:01:14 11.44    247 0.183  8.25  -117.4     4.6   4.3   1.3  111.7  12.18    10.9
09/05/12 19:31:13 11.48    248 0.184  8.24  -116.5     5.3   3.2   0.9  110.6  12.06    10.9
09/05/12 20:01:13 12.27    250 0.189  8.24  -117.0     4.4   3.7   1.1  109.3  11.70    10.9
09/05/12 20:31:13 12.95    248 0.191  8.24  -116.8     6.3   4.6   1.4  108.6  11.45    10.8
09/05/12 21:01:14 11.22    250 0.184  8.16  -112.1     5.6   6.9   2.0  106.6  11.68    10.9
09/05/12 21:31:14 10.92    248 0.181  8.12  -109.6     5.3   3.3   1.0  105.0  11.59    10.9
09/05/12 22:01:14 12.03    248 0.187  8.19  -114.1     4.2   3.8   1.1  108.7  11.70    10.9
09/05/12 22:31:14 11.92    251 0.188  8.15  -111.3     6.8   6.1   1.8  104.2  11.24    10.9
09/05/12 23:01:13 12.07    248 0.186  8.13  -110.6     6.9   8.2   2.4  105.5  11.35    10.9
09/05/12 23:31:14 10.55    251 0.182  8.08  -107.1     9.1   3.0   0.9  101.5  11.31    10.9
09/06/12 00:01:14 11.46    247 0.183  8.13  -110.5    11.4   6.2   1.8  105.2  11.47    10.8
09/06/12 00:31:14 11.48    250 0.186  8.14  -110.8    13.6   4.0   1.2  102.0  11.12    10.9
09/06/12 01:01:14 10.27    249 0.179  8.04  -104.9     9.3   3.0   0.9  100.6  11.27    10.9
09/06/12 01:31:15 11.74    247 0.185  8.14  -111.1    10.2   3.6   1.1  105.7  11.46    10.9
09/06/12 02:01:14 11.72    248 0.185  8.14  -111.1    12.9   4.9   1.5  105.4  11.42    10.8
09/06/12 02:31:14 11.65    248 0.185  8.20  -114.3    12.5   4.2   1.3  108.2  11.75    10.9
09/06/12 03:01:14 11.62    250 0.186  8.11  -108.9    13.7  12.2   3.6  102.6  11.15    10.9
09/06/12 03:31:14 11.54    248 0.184  8.09  -107.9    10.8  10.4   3.1  102.1  11.11    10.9
09/06/12 04:01:14 13.36    248 0.193  8.24  -117.2    12.3   4.8   1.4  108.9  11.38    10.9
09/06/12 04:31:13 11.26    252 0.186  8.09  -107.7    10.0   6.5   1.9  101.7  11.14    10.9
09/06/12 05:01:14 11.24    248 0.183  8.09  -107.7    10.0   2.2   0.7  102.8  11.27    10.8
09/06/12 05:31:14 11.67    248 0.185  8.09  -108.2    11.2  14.5   4.3  103.1  11.18    10.9
09/06/12 06:01:14 11.03    249 0.183  8.08  -107.5    10.5  36.1  10.6  102.2  11.25    10.8
09/06/12 06:31:13 11.20    248 0.183  8.09  -107.9    11.7  15.4   4.5  102.9  11.29    10.8
09/06/12 07:01:14 10.33    249 0.179  8.07  -106.3    14.1   8.5   2.5  101.8  11.40    10.8
09/06/12 07:31:15  9.90    249 0.177  8.02  -103.7    17.3  12.1   3.6   99.7  11.27    10.9
09/06/12 08:01:14  9.70    249 0.176  8.02  -103.5    16.5   9.8   2.9   99.5  11.30    10.8
09/06/12 08:31:14  9.96    248 0.177  8.05  -105.3    18.9   9.2   2.7  101.5  11.46    10.8
09/06/12 09:01:14 11.65    248 0.185  8.15  -111.8    26.3   4.7   1.4  105.6  11.47    10.7
09/06/12 09:31:15 10.46    252 0.182  8.16  -112.1    11.4   3.2   1.0  105.3  11.76    10.9
09/06/12 10:01:14 12.93    248 0.191  8.27  -118.7    14.5   2.9   0.9  110.9  11.70    10.9
09/06/12 10:31:13 14.20    248 0.197  8.27  -119.2    23.7   8.4   2.5  110.4  11.32    10.9
09/06/12 11:01:13 15.28    249 0.202  8.30  -121.4    25.2   3.6   1.1  111.5  11.17    10.9
09/06/12 11:31:14 13.25    248 0.192  8.27  -118.7     1.7   2.9   0.9  111.1  11.64    10.9
09/06/12 12:01:14 13.21    247 0.192  8.27  -118.8     1.4   2.6   0.8  112.8  11.83    10.8
09/06/12 12:31:13 13.46    248 0.193  8.28  -119.7     0.7   3.3   1.0  113.3  11.81    10.8
09/06/12 13:01:13 10.62    248 0.180  8.26  -117.5     0.9   6.0   1.8  112.2  12.48    10.8
09/06/12 13:31:13 10.03    248 0.177  8.21  -114.6     1.5  12.4   3.6  109.5  12.34    10.9
09/06/12 14:01:13 10.34    252 0.182  8.26  -117.3     0.7   1.7   0.5  111.0  12.42    10.8
09/06/12 14:31:14  9.30    248 0.173  8.20  -113.8     1.3   9.9   2.9  108.2  12.41    10.9
09/06/12 15:01:14  9.18    248 0.173  8.19  -113.0     1.3   7.4   2.2  107.4  12.36    10.8
09/06/12 15:31:14 10.16    248 0.178  8.13  -110.0     2.3   2.5   0.7  104.2  11.71    10.8
09/06/12 16:01:14 10.56    248 0.180  8.14  -110.7     1.0   2.2   0.7  104.1  11.59    10.8
09/06/12 16:31:13 10.25    248 0.178  8.15  -110.8     1.2   6.5   1.9  104.9  11.76    10.7
09/06/12 17:01:13 11.26    248 0.183  8.19  -113.8     1.0   2.2   0.7  107.1  11.73    10.8
09/06/12 17:31:14 12.20    247 0.187  8.21  -115.3     1.4   3.1   0.9  108.0  11.58    10.8
09/06/12 18:01:15 12.95    249 0.191  8.24  -117.2     1.7   3.3   1.0  109.1  11.49    10.9
09/06/12 18:31:14 13.15    247 0.191  8.28  -119.4    13.9   8.9   2.6  112.4  11.80    10.8
09/06/12 19:01:13 15.50    246 0.202  8.36  -124.9    12.7   4.1   1.2  117.0  11.66    10.8
09/06/12 19:31:13 18.49    249 0.218  8.44  -130.2     2.3   4.2   1.2  118.3  11.08    10.9
09/06/12 20:01:12 19.38    250 0.223  8.42  -129.4     1.0   1.9   0.6  115.8  10.65    10.9
09/06/12 20:31:12 18.63    249 0.219  8.43  -129.8     0.7   3.5   1.0  117.6  10.99    10.9
09/06/12 21:01:12 17.77    249 0.214  8.40  -127.7     2.5   1.3   0.4  117.0  11.13    10.9
09/06/12 21:31:11 16.07    249 0.206  8.33  -123.2     3.2  10.5   3.1  113.8  11.21    10.9
09/06/12 22:01:12 15.33    248 0.202  8.34  -123.8     5.9   6.7   2.0  115.7  11.58    10.9
09/06/12 22:31:13 14.17    248 0.197  8.28  -119.8     4.2   1.3   0.4  112.1  11.51    10.9
09/06/12 23:01:13 13.63    248 0.194  8.27  -118.8     6.7   9.3   2.8  111.6  11.58    10.9
09/06/12 23:31:13 13.50    248 0.193  8.26  -118.6     5.4   3.0   0.9  111.1  11.57    10.8
09/07/12 00:01:14 12.47    248 0.189  8.23  -116.6     8.9  76.2  22.4  109.8  11.70    10.9
09/07/12 00:31:14 12.29    248 0.188  8.22  -116.0     7.5   0.8   0.3  109.3  11.70    10.9
09/07/12 01:01:13 12.16    248 0.187  8.22  -115.7     6.1   2.3   0.7  109.0  11.69    10.9
09/07/12 01:31:14 11.97    248 0.186  8.21  -115.2    14.6   4.1   1.2  108.4  11.68    10.9
09/07/12 02:01:14 11.95    248 0.186  8.20  -114.3    10.8  22.2   6.5  108.0  11.65    10.8
09/07/12 02:31:14 11.93    248 0.186  8.19  -113.8    10.0   1.2   0.4  107.5  11.60    10.8
09/07/12 03:01:14 11.45    248 0.184  8.17  -112.3    28.0   0.7   0.2  105.9  11.55    10.8
09/07/12 03:31:14 11.38    247 0.183  8.15  -111.7     4.4   3.6   1.1  105.2  11.49    10.9
09/07/12 04:01:14 11.02    249 0.182  8.14  -110.6     3.7   7.9   2.3  104.2  11.48    10.8
09/07/12 04:31:14 11.47    248 0.184  8.13  -110.4     9.0  14.9   4.4  105.9  11.54    10.9
09/07/12 05:01:14 13.82    240 0.189  8.12  -110.0    29.1  11.4   3.3  102.9  10.64    10.8
09/07/12 05:31:13 18.43    249 0.218  8.28  -121.2    28.9  17.6   5.2  107.0  10.03    10.8
09/07/12 06:01:12 18.70    250 0.220  8.31  -122.7    27.7   7.3   2.2  108.3  10.10    10.8
